image_url,prompt
https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/attentioncheck_images/01.png,Fibonacci number
https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/attentioncheck_images/02.png,Yin-Yang
https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/attentioncheck_images/03.png,Wood
https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/attentioncheck_images/04.png,Metal
https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/attentioncheck_images/05.png,Fire
https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/attentioncheck_images/06.png,Water
https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/attentioncheck_images/07.png,A snail
https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/attentioncheck_images/08.png,A walnut
https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/attentioncheck_images/09.png,A kitten
https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/attentioncheck_images/10.png,A chair
https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/attentioncheck_images/11.png,Robots
https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/attentioncheck_images/12.png,A sunset
https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/attentioncheck_images/13.png,A tiger
https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/attentioncheck_images/14.png,A car
https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/attentioncheck_images/15.png,A kangaroo
https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/attentioncheck_images/16.png,A red circle
https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/attentioncheck_images/17.png,A coffee mug
https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/attentioncheck_images/18.png,A bird
https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/attentioncheck_images/19.png,A present
https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/attentioncheck_images/20.png,A tree